type,length_mm,breadth_mm,thickness_mm,mass_g,raw_material
Folsom,16.65,10.86,2.27,0.5,Chert
Folsom,26.2,12.77,2.66,1.1,Chert
Midland,19.1,13.9,4.1,1.2,Chert
Folsom,21.1,14.1,3.1,1.3,Chert
Folsom,23.27,13.46,3.14,1.3,Chalcedony
Folsom,25.47,14.84,3.47,1.3,Quartzite
Folsom,26.43,15.1,3.01,1.3,Chert
Folsom,27.39,13.41,2.85,1.4,Chert
Midland,21.0,15.9,3.9,1.4,Chert
Midland,26.13,14.37,3.27,1.4,Chert
Midland,27.62,12.51,3.89,1.4,Quartz
Folsom,24.87,15.96,2.77,1.5,Chalcedony
Folsom,26.68,15.72,3.27,1.5,Chert
Folsom,27.5,17.5,2.7,1.5,Chert
Folsom,27.38,16.58,2.86,1.6,Chert
Folsom,30.6,15.7,3.5,1.6,Chert
Folsom,28.08,17.59,3.13,1.7,Chert
Folsom,28.33,15.72,3.36,1.7,Chert
Folsom,30.97,15.8,3.16,1.7,Chert
Midland,29.33,16.96,3.32,1.8,Chert
Clovis,26.56,15.97,4.19,1.86,Chert
Midland,26.39,15.63,3.89,1.9,Chert
Midland,26.5,17.8,3.9,1.9,Chert
Midland,28.2,16.3,3.3,1.9,Chert
Folsom,27.68,15.99,4.11,2.0,Chert
Folsom,32.89,13.25,3.53,2.0,Chert
Midland,24.78,17.54,3.91,2.0,Chalcedony
Folsom,21.69,20.49,3.59,2.1,Silicified Wood
Folsom,30.76,18.16,3.2,2.1,Chert
Folsom,30.9,18.7,3.48,2.1,Chert
Folsom,28.87,17.46,3.46,2.2,Chert
Folsom,34.4,19.1,3.37,2.2,Chert
Midland,31.45,18.28,3.27,2.2,Chert
Clovis,37.64,13.93,3.87,2.3,Chert
Folsom,27.9,21.0,3.85,2.3,Chalcedony
Folsom,28.4,17.39,4.14,2.3,Chert
Folsom,30.48,15.75,3.68,2.3,Chert
Folsom,42.8,20.5,4.5,2.3,Chert
Midland,35.24,15.47,3.78,2.3,Chert
Folsom,26.7,18.09,3.63,2.4,Chalcedony
Folsom,29.6,19.5,3.8,2.4,Chert
Midland,28.99,17.48,4.29,2.4,Chert
Clovis,31.78,17.29,3.92,2.5,Chert
Folsom,29.06,17.67,3.96,2.5,Chert
Midland,28.49,18.48,3.89,2.5,Chalcedony
Midland,28.5,17.15,4.11,2.5,Chert
Midland,32.72,19.19,3.44,2.5,Chert
Clovis,30.6,16.25,4.8,2.56,Quartz
Eastern Clovis,33.39,11.89,6.14,2.58,Chert
Folsom,31.89,18.15,3.7,2.6,Chert
Midland,36.25,17.51,3.44,2.6,Silicified Wood
Folsom,29.43,18.61,4.11,2.7,Chert
Folsom,30.14,19.55,3.64,2.7,Chert
Folsom,40.45,18.3,3.73,2.7,Quartzite
Midland,29.0,17.3,4.5,2.7,Chert
Clovis,27.94,17.69,5.95,2.73,Chert
Folsom,30.23,18.51,4.37,2.8,Chert
Folsom,34.8,18.6,3.76,2.8,Chert
Folsom,35.35,20.52,4.04,2.8,Chert
Folsom,36.08,19.65,3.82,2.8,Silicified Wood
Folsom,46.51,14.53,3.53,2.8,Chert
Midland,32.65,18.0,4.57,2.8,Chert
Midland,36.1,16.4,4.25,2.8,Chert
Midland,45.88,15.43,3.62,2.8,Chalcedony
Folsom,35.15,18.67,3.74,2.9,Chert
Midland,30.51,18.3,4.8,2.9,Chert
Folsom,36.5,20.4,4.02,3.0,Chert
Midland,40.27,18.27,3.14,3.0,Chert
Midland,46.24,18.03,3.04,3.0,Chert
Folsom,30.2,20.2,4.2,3.1,Chert
Folsom,32.06,20.12,4.41,3.1,Chert
Folsom,35.13,17.75,4.43,3.1,Chalcedony
Folsom,32.45,19.75,4.08,3.2,Chert
Folsom,35.7,20.89,4.14,3.2,Chalcedony
Midland,40.2,18.0,4.0,3.2,Chert
Clovis,43.78,18.38,4.3,3.3,Chert
Folsom,34.2,20.73,4.15,3.3,Chalcedony
Folsom,35.38,22.46,3.85,3.3,Chert
Folsom,38.5,18.5,4.0,3.3,Chert
Folsom,44.39,18.48,3.3,3.3,Chalcedony
Midland,35.69,21.53,3.67,3.3,Chert
Midland,38.11,17.3,4.48,3.3,Chert
Folsom,33.14,18.55,4.76,3.4,Chert
Folsom,36.2,20.0,3.9,3.4,Chert
Folsom,39.39,15.38,4.05,3.4,Chalcedony
Eastern Clovis,42.1,17.42,5.07,3.48,Chert
Folsom,37.44,17.82,4.01,3.5,Chert
Folsom,39.7,19.49,4.4,3.5,Chert
Folsom,41.93,18.55,4.7,3.5,Chert
Midland,30.93,19.19,4.66,3.5,Silicified Wood
Midland,38.0,18.3,4.1,3.5,Chert
Clovis,33.8,18.92,5.45,3.52,Chert
Clovis,33.8,18.92,5.42,3.6,Chert
Folsom,44.3,18.5,3.2,3.6,Chert
Folsom,50.33,17.13,3.61,3.6,Chert
Midland,34.93,17.49,4.82,3.6,Chert
Midland,40.18,18.91,4.0,3.6,Chert
Midland,40.33,17.61,4.45,3.6,Chert
Eastern Clovis,35.54,19.7,6.72,3.7,Chert
Folsom,36.7,22.4,4.25,3.7,Chert
Folsom,38.93,17.89,4.54,3.7,Chalcedony
Folsom,34.83,24.35,4.27,3.8,Chert
Folsom,36.5,19.2,4.65,3.8,Chert
Folsom,36.66,21.9,3.74,3.8,Chert
Folsom,37.17,17.61,5.45,3.8,Chert
Folsom,38.17,24.34,4.03,3.8,Chert
Midland,37.3,19.0,4.4,3.8,Chert
Midland,37.42,20.18,4.78,3.8,Chert
Folsom,30.92,25.05,4.19,3.9,Chalcedony
Folsom,31.17,22.68,4.58,3.9,Chalcedony
Folsom,39.55,21.54,4.31,3.9,Chert
Folsom,41.65,21.3,3.82,3.9,Silicified Wood
Folsom,49.53,19.58,3.67,3.9,Chert
Midland,42.11,19.03,4.26,3.9,Chert
Folsom,38.1,24.2,4.79,3.92,Chalcedony
Folsom,40.69,19.74,4.29,4.0,Chert
Folsom,46.88,20.77,3.84,4.0,Chert
Midland,44.56,18.76,4.13,4.0,Chert
Midland,44.59,21.39,3.73,4.0,Chert
Eastern Clovis,33.57,19.22,6.1,4.08,Chert
Clovis,38.66,18.63,5.6,4.1,Chert
Folsom,34.03,21.44,4.37,4.1,Chalcedony
Folsom,43.86,17.39,4.78,4.1,Chert
Midland,42.57,20.5,4.02,4.1,Chert
Clovis,35.27,17.16,7.38,4.16,Quartz
Folsom,36.55,21.99,3.73,4.2,Chert
Folsom,42.8,17.8,4.3,4.2,Chert
Eastern Clovis,38.87,21.57,6.17,4.3,Chert
Folsom,38.4,24.72,3.67,4.3,Chalcedony
Folsom,40.06,19.83,4.65,4.3,Chalcedony
Folsom,43.22,24.34,4.38,4.3,Chert
Folsom,59.6,22.9,5.6,4.3,Chert
Folsom,37.74,20.39,4.49,4.4,Chert
Folsom,40.74,22.19,4.19,4.5,Chalcedony
Folsom,46.6,23.9,4.08,4.5,Chert
Midland,39.4,22.14,4.71,4.5,Chert
Midland,50.74,20.95,3.56,4.5,Chert
Folsom,43.8,22.3,4.02,4.6,Chert
Folsom,44.65,23.71,3.59,4.6,Chert
Folsom,46.54,20.01,3.99,4.6,Chert
Midland,51.38,19.53,4.17,4.6,Chert
Midland,57.5,16.5,4.6,4.6,Chert
Folsom,35.51,23.25,5.59,4.7,Chert
Eastern Clovis,34.18,19.78,7.73,4.78,Chert
Folsom,39.7,18.88,5.69,4.8,Chert
Folsom,41.51,22.29,3.89,4.8,Chert
Folsom,41.6,22.71,4.27,4.8,Chert
Folsom,42.29,22.12,4.12,4.8,Chert
Folsom,49.5,19.9,4.15,4.8,Chert
Midland,41.29,19.53,5.53,4.8,Chert
Eastern Clovis,46.64,17.96,6.13,4.82,Chert
Eastern Clovis,39.99,18.61,6.29,4.84,Chert
Folsom,40.55,20.18,5.6,4.9,Chert
Midland,46.3,20.5,4.55,4.9,Chert
Folsom,43.35,19.64,4.32,5.0,Chalcedony
Folsom,44.21,21.62,4.11,5.0,Chalcedony
Folsom,42.29,20.48,4.52,5.1,Chalcedony
Folsom,42.74,21.59,5.06,5.1,Chert
Folsom,45.71,23.05,4.41,5.1,Chert
Folsom,40.94,24.39,4.94,5.2,Chert
Folsom,45.25,24.48,4.33,5.2,Chert
Midland,55.71,19.35,4.14,5.2,Chert
Midland,57.44,20.51,4.06,5.2,Chert
Folsom,38.26,23.03,4.89,5.3,Chert
Folsom,45.63,20.88,4.58,5.3,Chert
Folsom,45.97,22.94,3.97,5.3,Chert
Folsom,50.1,21.2,4.77,5.3,Chert
Midland,44.83,21.47,4.8,5.3,Chert
Midland,52.4,22.22,4.56,5.3,Chert
Midland,53.86,19.42,4.62,5.3,Chalcedony
Eastern Clovis,33.09,21.21,7.81,5.37,Chert
Folsom,44.1,24.29,3.98,5.4,Chert
Midland,50.44,20.64,4.56,5.4,Chert
Midland,36.76,27.74,5.4,5.5,Chert
Clovis,37.07,22.94,6.31,5.6,Chert
Midland,45.54,23.84,4.55,5.6,Chert
Midland,50.74,23.37,4.48,5.7,Chert
Folsom,40.2,23.17,5.58,5.8,Quartzite
Eastern Clovis,42.28,23.6,6.14,5.82,Chert
Folsom,39.82,25.33,5.15,5.9,Chert
Clovis,48.53,22.33,5.17,6.0,Chert
Folsom,62.0,22.0,4.0,6.0,Chert
Midland,61.54,19.58,4.43,6.0,Chert
Folsom,52.9,21.5,5.06,6.1,Chert
Midland,57.53,18.7,4.44,6.1,Chert
Eastern Clovis,41.24,20.69,6.12,6.14,Chert
Clovis,51.89,21.48,5.13,6.2,Chert
Folsom,48.3,22.21,4.54,6.2,Chalcedony
Midland,48.52,22.71,4.98,6.2,Chert
Midland,54.35,21.04,4.5,6.2,Chert
Folsom,45.79,26.82,4.76,6.3,Chert
Folsom,50.27,23.95,4.21,6.3,Chalcedony
Midland,50.66,23.56,4.53,6.3,Chert
Clovis,41.83,22.23,6.31,6.37,Obsidian
Eastern Clovis,36.52,22.78,7.15,6.41,Chert
Eastern Clovis,36.66,24.73,6.46,6.46,Chert
Folsom,43.59,22.34,5.2,6.5,Chert
Eastern Clovis,42.0,20.66,6.79,6.68,Chert
Folsom,50.33,26.48,4.78,6.7,Chert
Eastern Clovis,44.16,24.22,6.04,6.9,Chert
Midland,59.8,20.8,4.77,6.9,Chert
Clovis,46.59,20.62,6.74,6.97,Quartz
Folsom,60.42,22.94,4.56,7.0,Chert
Eastern Clovis,42.31,23.5,6.53,7.17,Chert
Eastern Clovis,48.91,21.8,6.45,7.18,Chert
Midland,61.69,22.18,5.06,7.3,Chert
Folsom,54.8,26.5,4.51,7.4,Chert
Folsom,50.46,22.88,4.94,7.5,Silicified Wood
Eastern Clovis,46.83,21.31,6.67,7.54,Chert
Clovis,44.73,25.16,6.9,7.7,Chert
Midland,67.59,21.14,4.21,7.7,Chert
Eastern Clovis,52.21,23.2,6.62,7.72,Chert
Clovis,57.05,21.94,6.52,7.8,Chert
Clovis,57.06,21.96,6.62,7.8,Chert
Midland,45.5,24.9,6.0,7.8,Chert
Clovis,49.77,25.15,6.26,7.91,Chert
Folsom,68.85,21.86,4.54,8.0,Silicified Wood
Midland,60.02,30.53,5.64,8.0,Chert
Clovis,67.78,20.69,5.36,8.1,Chert
Eastern Clovis,45.13,23.75,8.78,8.25,Chert
Eastern Clovis,52.54,25.45,6.3,8.29,Chert
Folsom,59.61,23.09,6.73,8.6,Chert
Midland,61.8,23.68,5.08,8.6,Chert
Midland,68.0,25.3,4.99,8.6,Chert
Eastern Clovis,56.51,24.71,6.99,8.72,Chert
Eastern Clovis,42.36,24.11,6.86,8.85,Chert
Eastern Clovis,47.61,26.57,6.53,8.89,Chert
Eastern Clovis,52.35,23.02,7.06,8.92,Chert
Eastern Clovis,61.77,24.57,6.05,9.07,Chert
Eastern Clovis,53.35,25.45,5.91,9.08,Chert
Eastern Clovis,54.24,25.49,8.02,9.08,Chert
Clovis,44.98,25.49,7.14,9.2,Chert
Eastern Clovis,45.95,25.89,6.68,9.2,Chert
Eastern Clovis,52.6,23.75,7.76,9.38,Chert
Clovis,47.45,28.94,7.07,9.55,Chert
Clovis,47.29,26.24,7.31,9.6,Chert
Clovis,64.09,21.32,5.91,9.6,Chert
Eastern Clovis,58.98,24.74,5.9,9.6,Chert
Folsom,58.88,23.05,6.32,9.6,Chert
Folsom,59.15,23.9,5.0,9.6,Chert
Folsom,71.38,22.99,5.58,9.7,Chert
Eastern Clovis,59.12,25.14,5.6,9.9,Chert
Eastern Clovis,54.47,28.25,6.37,9.98,Chert
Eastern Clovis,52.54,28.99,6.75,10.13,Chert
Eastern Clovis,56.8,23.85,8.42,10.32,Chert
Eastern Clovis,60.13,24.94,8.27,10.49,Chert
Clovis,55.51,24.64,7.19,10.51,Chalcedony
Eastern Clovis,47.64,28.58,6.81,10.52,Chert
Clovis,57.81,23.7,7.64,10.84,Chert
Eastern Clovis,55.06,27.07,7.55,10.96,Chert
Eastern Clovis,57.77,25.77,7.51,11.05,Chert
Eastern Clovis,53.62,27.84,6.53,11.06,Chert
Clovis,51.15,28.27,7.19,11.11,Chert
Eastern Clovis,67.35,26.24,5.45,11.22,Chert
Eastern Clovis,47.11,28.68,6.69,11.34,Chert
Eastern Clovis,62.88,25.12,6.6,11.41,Chert
Eastern Clovis,51.01,27.68,6.75,11.56,Chert
Folsom,74.6,24.19,5.58,11.7,Chert
Eastern Clovis,47.19,27.58,9.39,11.74,Chert
Clovis,66.15,32.84,5.02,12.23629324053146,Chalcedony
Eastern Clovis,52.36,25.77,7.89,12.26,Chert
Eastern Clovis,70.57,25.05,6.49,12.48,Chert
Eastern Clovis,66.65,23.15,7.45,12.66,Chert
Eastern Clovis,61.37,29.02,7.74,12.74,Chert
Eastern Clovis,66.5,26.25,7.4,12.81,Chert
Eastern Clovis,64.19,23.59,7.58,12.85,Chert
Clovis,56.75,23.71,8.68,13.1,Quartzite
Eastern Clovis,60.4,28.05,6.46,13.27,Chert
